name,phone,city,postal_code,state,phone_valid,phone_line_type,phone_carrier
Legacy contractors,+1 302-513-3194,,,,,,
"Pro- Windows, Roofing & Siding",+1 302-249-0012,Newark,19713,Delaware,,,
Evolution Contracting Complete General Contracting services,+1 610-496-5164,Newark,19702,Delaware,,,
Grablis Roofing Specialist,+1 443-350-8244,Elkton,21921,Maryland,,,
Santo Stucco & Stone,+1 302-521-9421,Newark,19713,Delaware,,,
"Delaware Exteriors,",+1 302-382-6908,,,,,,
Rayon Services,+1 302-588-5499,Newark,19702,Delaware,,,
LIMITLESS REMODELING GROUP,+1 443-905-8037,Elkton,21921,Maryland,,,
BULL’S HOME IMPROVEMENT,+1 302-579-8331,Newark,19702,Delaware,,,
Right Service Roof Repair and Roof Installation NJ,+1 201-456-6461,Fort Lee,07024,New Jersey,,,
Randy handyman & Remodeling services,+1 484-743-5769,Wilmington,19805,Delaware,,,
CT Clean and Son,+1 302-290-6508,,,,,,
JM General Contractor,+1 302-277-7173,,,,,,
Diamond State Property Preservation,+1 302-275-0673,,,,,,
American Precision Home Improvements,+1 302-513-0588,New Castle,19720,Delaware,,,
Clark’s Contracting,+1 609-381-2031,Pennsville,08070,New Jersey,,,
"New Castle Dryer Vent Cleaning & Air Duct Cleaning Services, DE",+1 302-610-4998,New Castle,19720,Delaware,,,
Ward property contractors,+1 609-202-9298,,,,,,
Diaz Construction,+1 610-470-9415,Wilmington Manor,19720,Delaware,,,
MOT Roofing,+1 302-598-9717,,,,,,
New Castle Constructs,+1 443-681-9589,Baltimore,21202,Maryland,,,
Tidy Up Construction,+1 267-596-7525,,,,,,
Benny Bennett Contracting,+1 302-290-1613,,,,,,
ABJ Contracting,+1 609-617-3090,Pennsville,08070,New Jersey,,,
Gm Roofing & Construction,+1 724-730-5644,New Castle,16101,Pennsylvania,,,
The Handyman Guy,+1 302-981-3704,New Castle,19720,Delaware,,,
The House Medic,+1 302-383-2069,New Castle,19720,Delaware,,,
Ruiz Construction,+1 302-420-4469,,,,,,
Invigorate Pressure Washing,+1 484-908-9740,Wilmington,19810,Delaware,,,
DAP CONSTRUCTION,+1 302-510-2746,,,,,,
Coale Roofing,+1 610-485-7646,Glen Mills,19342,Pennsylvania,,,
Jay's Roofing And Siding,+1 215-370-8696,Linwood,19061,Pennsylvania,,,
Piazza Brothers Construction & Chimney,+1 610-333-6585,,,,,,
CB Home Improvements,+1 484-401-8232,,,,,,
"One Day Roofing,.",+1 484-714-5705,,,,,,
M&T Contractors,+1 267-516-4885,,,,,,
Fischer Roofing,+1 610-656-8001,Aston Township,19014,Pennsylvania,,,
McCabe And Son Roofing,+1 610-517-6635,Morton,19070,Pennsylvania,,,
Bafundo & Associates,+1 302-654-2221,Wilmington,19802,Delaware,,,
price is right roofing,+44 844 777 7423,Bear,19701,Delaware,False,invalid,
First Class Contracting,+1 800-307-1059,Bear,19701,Delaware,,,
Thomco Inc,+1 800-334-0227,Newark,19711,Delaware,,,
C H Evans Roofing and Gutters,+1 800-846-7162,,,,,,
Elevated Remodeling,+1 800-672-8519,Newark,19711,Delaware,,,
Serene Construction,+1 888-341-7501,Wilmington,19801,Delaware,,,
Topmac Roofing,+1 833-867-6221,,,,,,
Modern Exteriors,+1 855-556-6337,Wilmington,19809,Delaware,,,
PJ Fitzpatrick,+1 866-858-5928,New Castle,19720,Delaware,,,
Roofing Contractors Company,+1 888-269-6095,Bronx,10463,New York,,,
Home Services at The Home Depot,+1 844-476-2140,Wilmington,19802,Delaware,,,
Magic Roofing & siding inc,+1 888-314-2793,Ewing Township,08638,New Jersey,,,
A-Pro Home Inspection Services,+1 888-829-7220,,,,,,
Shingle Restoration,+1 877-472-1208,,,,,,
American Roofing & Dream Remodeling,+1 800-788-1193,Newark,07105,New Jersey,,,
New Group Roofing,+1 888-842-6448,Irvington,07111,New Jersey,,,
Immaculate Cleaning,+1 866-711-2532,,,,,,
E. Stanley Contracting,+1 877-322-9032,Bear,19701,Delaware,,,
McCollum Roofing & Siding,+1 877-604-7663,,,,,,
Energy Services Group,+1 800-908-7000,New Castle,19720,Delaware,,,
"Aspen Contracting, Inc.",+1 877-784-7663,Wilmington,19808,Delaware,,,
Elite Building Services,+1 800-231-1148,Wilmington,19803,Delaware,,,
Calahan Sunrooms,+1 855-370-0894,Wilmington,19804,Delaware,,,
GSM Roofing,+1 800-532-7663,Elkton,21921,Maryland,,,
H. Parker Home Improvement,+1 800-484-1308,,,,,,
National,+1 855-247-3786,New Castle,19720,Delaware,,,
